Teorema,Prova
Ex (P(x)&Q) |- Ex P(x)&Q,"
Prova:""""
	1.  	Ex(P(x) & Q)					pre
	2.		{ a 	P(a) & Q				hip
	3.			P(a)						&e 2	 			
	4.			Ex P(x)					Ei 3
			}
	5.		Ex P(x)						Ee 1, 2-4
	6.		{ a 	P(a) & Q				hip
	7.			Q							&e 6
			}
	8.		Q								Ee 1, 6-7
	9.		Ex P(x) & Q					&i 5,8
	
""""
"
Ex P(x)&Q |- Ex (P(x)&Q),"
Prova:""""
	1.  	Ex P(x) & Q		        	pre
	2.	 Ex P(x)		                	&e 1
	3.	Q			                    	&e 1			
	4.	{ a 	P(a) 	        	    	hip
	5.		P(a) & Q	                	&i 4,3
	6.		Ex(P(x) & Q)	            	Ei 5
		}
	7.	Ex(P(x) & Q)			            Ee 2, 4-6
	
""""
"
Ax (P(x)|Q) |- Ax P(x)|Q,"
Prova:""""
        1.          Ax(P(x) | Q)                                        pre
        2.        {        ~(Ax P(x) | Q)                                hip
        3.                {         a                                                
        4.                        P(a) | Q                                        Ae 1
        5.                        {        P(a)                                        hip
                                  }
        6.                        {        Q                                                hip        
        7.                                Ax P(x) | Q                        |i 6
        8.                                @                                                ~e 7,2
        9.                                P(a)                                        @e 8
                                 }
        10.                 P(a)                                                |e 4, 5-5, 6-9
                        }
        11.                Ax P(x)                                                Ai 3-10
        12.                Ax P(x) | Q                                         |i 11
        13.                @                                                                ~e 2,12
                }        
        14.        Ax P(x) | Q                                                raa 2-13
                
""""
"
Ax P(x)|Q |- Ax (P(x)|Q),"
Prova:""""
	1.  	Ax P(x) | Q					pre
	2.	{	Ax P(x)						hip
	3.		{ a
	4.			P(a)						Ae 2
	5.			P(a) | Q					|i 4
			}
	6.		Ax(P(x) | Q)					Ai 3-5
		}
	7.	{	Q								hip
	8.		{ a
	9.			P(a) | Q					|i 7
			  }
	10.		Ax(P(x) | Q)					Ai 8-9
		}
	11.	Ax(P(x) | Q)						|e 1, 2-6, 7-10
	
""""
"
Ex (P(x)->Q) |- Ax P(x)->Q,"
Prova:""""
	1.  	Ex(P(x)->Q)					pre
	2.	{	Ax P(x)						hip
	3.		{ a	P(a) -> Q					hip
	4.			P(a)						Ae 2
	5.			Q							->e 3,4
			}
	6.		Q								Ee 1,3-5
		}
	7.	Ax P(x) -> Q						->i 2-6
		
""""
"
Ax P(x)->Q |- Ex (P(x)->Q),"
Prova:""""
	1.  	Ax P(x) -> Q					          pre
	2.    {   ~Ex(P(x) -> Q)              hip
	3.        { a
	4.              {   ~P(a)               hip
	5.                  {   P(a)            hip
	6.                      @               ~e 4,5
	7.                      Q               @e 6
						}
	8.                  P(a)->Q             ->i 5-7
	9.                  Ex(P(x) -> Q)       Ei 8
	10.                 @                   ~e 2,9
					}
	11.             P(a)                    raa 4-10
			  }
	12.       Ax P(x)                       Ai 3-11
	13.       Q                             ->e 1,12
	14.       {   P(a)                      hip
	15.           Q                         copie 13
			  }
	16.       P(a)->Q                       ->i 14-15
	17.	      Ex(P(x) -> Q)						      Ei 16
	18.       @                             ~e  2,17                      
		  }
	19.	  Ex(P(x) -> Q)						          raa 2-18
		
""""
"
Ex (P->Q(x)) |- P->Ex Q(x),"
Prova:""""
1.  	Ex (P -> Q(x))				pre
	2.	{	P								hip
	3.		{ a		P -> Q(a)				hip
	4.			Q(a)						->e 2,3
	5.			Ex Q(x)					Ei 4
			}				
	6.		Ex Q(x)						Ee 1, 3-5
		}	
	7.	P -> Ex Q(x)						->i 2-6
	
""""
"
P->Ex Q(x) |- Ex (P->Q(x)),"
Prova:""""
	1.  	(P -> Ex Q(x))					pre
	2.	{	~(~P | Ex Q(x))					hip
	3.		{	P								      hip
	4.      Ex Q(x)               ->e 3, 1
	5.			~P | Ex Q(x)					|i 4
	6.			@								~e 5,2
			   }		
	7.		~P									~i 3-6
	8.		~P | Ex Q(x)						|i 7
	9.		@									~e 8,2
		  }
	10.	~P | Ex Q(x)        raa 2-9
	11.	{	~P									hip
	12.		{	P								hip
	13.			@								~e 11,12
	14.     Q(a)            @e 13
			  }
	15.		P -> Q(a)							->i 12-14
	16.		Ex  (P -> Q(x))					Ei 15
		  }
	17.	{	Ex Q(x)							hip
	18.		{ a		Q(a)						hip
	19.			{	P							hip
	20.				Q(a)						copie 18
				  }
	21.			P -> Q(a)						->i 19-20
	22.			Ex (P -> Q(x))				Ei 21
			  }
	23.		Ex (P -> Q(x))					Ee 17, 18-22
		  }
	24.	Ex (P -> Q(x))						|e 10, 11-16, 17-23
""""
"
|- (A|(A&B))->A,"
Prova:""""

1. {    A | (A & B) hip
2.      {   A hip
3.          A copie 2
                }
4.      {   A & B hip
5.          A &e 4
                }
6.      A |e 1, 2-3, 4-5
        }
7. (A | (A & B)) -> A ->i 1-6

""""
"
|- (A&(A|B))->A,"
Prova:""""

1. {    A & (A | B) hip
2.      A &e 1
	}
3. (A & (A | B)) -> A ->i 1-2

""""
"
|- (A->(B->C))->(B->(A->C)),"
Prova:""""

1. {    A -> (B-> C) hip
2.      {   B hip
3.          {   A  hip
4.              B->C ->e 3,1
5.              C ->e 2,4
			}
6.          A->C ->i 3-5
		}
7.      B -> (A -> C) ->i 2-6
   }
8. (A -> (B-> C)) -> (B -> (A -> C)) ->i 1-7

""""
"
|- (A->(A->B))->(A->B),"
Prova:""""

1. {    A -> (A -> B) hip
2.      {   A hip
3.          A -> B ->e 2,1
4.          B ->e 2,3
                }
5.      A -> B ->i 2-4
   }
6. (A -> (A-> B)) -> (A -> B) ->i 1-5

""""
"
|- (~A->B)->((~A->~B)->A),"
Prova:""""

1. {    ~A -> B hip
2.      {   ~A -> ~B hip
3.          {   ~A hip
4.              B ->e 3,1
5.              ~B ->e 3,2
6.              @ ~e 4,5
			}
7.          A raa 3-6
		}
8.      (~A -> ~B) -> A ->i 2-7
   }
9. (~A -> B) -> ((~A -> ~B) -> A) ->i 1-8

""""
"
|- A|~A,"
Prova:""""

1. {    ~(A | ~A) hip
2.      {   ~A hip
3.          A | ~A |i 2
4.          @ ~e 3,1
                }
5.      A  raa 2-4
6.      A |~A |i 5
7.      @ ~e 6, 1
   }
8. A | ~A raa 1-7

""""
"
|- (A->B)|(B->A),"
Prova:""""

1. {    ~((A -> B) | (B -> A)) hip
2.      {   A hip
3.          {   B hip
4.              A copie 2
			}
5.          B -> A ->i 3-4
6.          (A -> B) | (B -> A) |i 5
7.          @ ~e 6, 1
8.          B @e 7
		}
9.      A -> B ->i 2-8
10.     (A -> B)|(B -> A) |i 9
11.     @ ~e 10, 1
  }
12. (A -> B) | (B -> A) raa 1-11

""""
"
|- A->A,"
Prova:""""

1. {    A hip
2.  A copie 1
	}
3. A -> A ->i 1-2

""""
"
|- (A->B)->((C->A)->(C->A)),"
Prova:""""

1. {    (A -> B) hip
2.      {   (C -> A) hip
3.          (C -> A) copie 2
		}
4.      (C -> A)->(C -> A) ->i 2-3
	}
5. (A -> B) -> ((C -> A)->(C -> A)) ->i 1-4

""""
"
(A&B)->C |- B->(A->C),"
Prova:""""

1. A&B -> C		pre
2. {	B		hip
3.	{	A	hip
4.		A&B	&i 3,2
5.		C	->e 4,1
	}
6. 	A->C		->i 3-5 
   }
7. B->(A->C)		->i 2-6

""""
"
B->(A->C) |- (A&B)->C,"
Prova:""""

1. B->(A->C)		pre
2. {	A&B		hip
3.	B		&e 2
4.	A->C		->e 3,1
5.	A		&e 2
6. 	C		->e 5,4 
   }
7. A&B -> C		->i 2-6

""""
"
|- (A->(B->C))->((A->B)->(A->C)),"
Prova:""""

1. {    A -> (B -> C) hip
2.      {   A -> B hip
3.          {   A hip
4.              B ->e 3, 2
5.              B -> C ->e 3, 1
6.              C ->e 4, 5
			}
7.           A -> C ->i 3-6
		}
8.      (A -> B) -> (A -> C) ->i 2-7
	}
9. (A -> (B -> C)) -> ((A -> B) -> (A -> C)) ->i 1-8

""""
"
|- A->(B->A),"
Prova:""""

1. {    A hip
2.      {   B hip
3.          A copie 1
		}
4.      B -> A ->i 2-3
	}
5. A -> (B -> A) ->i 1-4

""""
"
|- ((A->B)->A)->A,"
Prova:""""

1. {    (A  -> B) -> A hip
2.      {   ~A hip
3.          {   A hip
4.              @ ~e 3,2
5.              B @e 4
			}
6.          A -> B ->i 3-5
7.          A  ->e 6,1
8.          @  ~e 7,2
		} 
9.      A raa 2-8
   }
10. ((A  -> B) -> A) -> A ->i 1-9 

""""
"
"A->C, B->C, A|B |- C","
Prova:""""

1. A -> C pre
2. B -> C pre
3. A | B pre
4. {    A hip
5.      C ->e 4, 1
	}
6. {    B hip
7.      C ->e 6, 2
	}
8. C |e 3, 4-5, 6-7

""""
"
A |- ~~A,"
Prova:""""

1. A pre
2. {    ~A hip
3.  @ ~e 1, 2
	}
4. ~~A ~i 2-3

""""
"
~~A |- A,"
Prova:""""

1. ~~A pre
2. {    ~A hip
3.      @ ~e 2, 1
	}
4. A raa 2-3

""""
"
"A->B, ~B |- ~A","
Prova:""""

1. A -> B pre
2. ~B pre
3. {   A hip
4.     B ->e 1,3
5.     @ ~e 4,2
   }
6. ~A ~i 3-5

""""
"
~B->~A |- A->B,"
Prova:""""

1. ~B->~A	pre
2. {	A	   hip
3.	   { ~B  hip
4.	     ~A 	->e 3,1
5.	      @  ~e 2,4
	   }
6.	   B 	raa 3-5
   }
7. A->B		->i 2-6

""""
"
A->B |- ~B->~A,"
Prova:""""

1.  A -> B pre
2.  {   ~B hip
3.      {   A hip
4.          B ->e 3, 1
5.          @ ~e 4, 2
		}
6.      ~A ~i 3-5
	}
7.  ~B -> ~A ->i 2-6

""""
"
~(A|B) |- ~A&~B,"
Prova:""""

1.  ~(A | B) pre
2.  {   A hip
3.      A | B |i 2
4.      @ ~e 3, 1
	}
5.  ~A ~i 2-4
6.  {   B hip
7.      A | B |i 6
8.      @ ~e 7, 1
	}
9.  ~B ~i 6-8
10. ~A & ~B &i 5, 9

""""
"
~A&~B |- ~(A|B),"
Prova:""""

1.  ~A & ~B pre
2.  ~A &e 1
3.  ~B &e 1
4.  {   A | B hip
5.      {   A hip
6.          @ ~e 5, 2
		}
7.      {   B hip
8.          @ ~e 7, 3
		}
9.      @ |e 4, 5-6, 7-8
	}
10. ~(A | B) ~i 4-9

""""
"
~(A&B) |- ~A|~B,"
Prova:""""

1.  ~(A & B) pre
2.  {   ~(~A | ~B) hip
3.      {   ~A hip
4.          ~A | ~B |i 3
5.          @ ~e 4, 2
		}
6.      A raa 3-5
7.      {   ~B hip
8.          ~A | ~B |i 7
9.          @ ~e 8, 2
		}
10.     B raa 7-9
11.     A & B &i 6, 10
12.     @ ~e 11, 1
	}
13. ~A | ~B raa 2-12

""""
"
~A|~B |- ~(A&B),"
Prova:""""

1.  ~A | ~B pre
2.  {   A & B hip
3.      A &e 2
4.      B &e 2
5.      {   ~A hip
6.          @ ~e 3, 5
		}
7.      {   ~B hip
8.          @ ~e 4, 7
		}
9.      @ |e 1, 5-6, 7-8
	}
10. ~(A & B) ~i 2-9

""""
"
A|(B&C) |- (A|B)&(A|C),"
Prova:""""

1. A | (B&C)		pre
2. {	A		hip
3.	A|B		|i 2
4.	A|C		|i 2
5.	(A|B)&(A|C)	&i 3,4
   }
6. { 	B&C		hip
7.	B		&e 6
8.	A|B		|i 7
9. 	C		&e 6
10.	A|C		|i 9	
11.	(A|B)&(A|C)	&i 8,10
   }
12. (A|B)&(A|C)		|e 1, 2-5, 6-11

""""
"
(A|B)&(A|C) |- A|(B&C),"
Prova:""""

1.   (A | B) & (A | C)    pre
2.   (A | B)              &e 1
3.   (A | C)              &e 1
4.    { A                 hip
5.      A | (B&C)         |i 4
	  }
6.    {  B                hip
7.      { A               hip
8.        A| (B&C)        |i 7
		}
9.      { C               hip
10.       B&C             &i 6,9
11.       A | (B&C)       |i 10
		}
12.     A | (B&C)         |e 3, 7-8, 9-11
	  }
13.   A | (B&C)         |e 2, 4-5, 6-12

""""
"
A&(B|C) |- (A&B)|(A&C),"
Prova:""""

1.  A & (B | C)       pre
2.  A                 &e 1
3.  B | C             &e 1
4.  {  B              hip
5.     A&B            &i 2,4
6.     (A&B) | (A&C)  |i 5
	}    
7.  {  C              hip
8.     A&C            &i 2,7
9.     (A&B) | (A&C)  |i 8
	}   
10. (A&B) | (A&C)     |e 3, 4-6, 7-9

""""
"
(A&B)|(A&C) |- A&(B|C),"
Prova:""""

1.  (A & B) | (A & C) pre
2.  {   A & B hip
3.      A &e 2
4.      B &e 2
5.      B | C |i 4
6.      A & (B | C) &i 3, 5
	}
7.  {   A & C hip
8.      A &e 7
9.      C &e 7
10.     B | C |i 9
11.     A & (B | C) &i 8, 10
	}
12. A & (B | C) |e 1, 2-6, 7-11

""""
"
"A|B, ~B |- A","
Prova:""""

1.  A | B pre
2.  ~B pre
3.  {   A hip
4.      A copie 3
	}
5.  {   B hip
6.      @ ~e 5, 2
7.      A @e 6
	}
8.  A |e 1, 3-4, 5-7

""""
"
A|B |- ~A->B,"
Prova:""""

1.  A | B pre
2.  {   A hip
3.      {   ~A hip
4.          @ ~e 2, 3
5.          B @e 4
		}
6.      ~A -> B ->i 3-5
	}
7.  {   B hip
8.      {   ~A hip
9.          B copie 7
		}
10.     ~A -> B ->i 8-9
	}
11. ~A -> B |e 1, 2-6, 7-10

""""
"
~A->B |- A|B,"
Prova:""""

1. ~ A -> B pre
2. { ~ (A | B) hip
3.    { ~ A hip
4.      B ->e 3, 1
5.      A | B |i 4
6.      @ ~e 5, 2
	  }
7.  A raa 3-6
8.  A | B |i 7
9.  @ ~e 2,8
   }
10. A | B raa 2-9

""""
"
A&B |- ~(A->~B),"
Prova:""""

1. A & B pre
2. A &e 1
3. B &e 1
4. {    A -> ~B hip
5.      ~ B ->e 4, 2
6.      @ ~e 5, 3
   }
7. ~ (A -> ~ B) ~i 4-6

""""
"
~(A->~B) |- A&B,"
Prova:""""

1. ~ (A -> ~ B)   pre
2. {    ~ A       hip
3.      { A       hip
4.        @       ~e 2,3
5.        ~B      @e 4
		}
6.      A->~B     ->i 3-5
7.      @         ~e 6,1  
	}
8.  A raa 2-7
9. {    ~ B hip
10.      {    A hip
11.           ~ B copie 9
		 }
12.      (A -> ~ B) ->i 10-11
13.      @ ~e 12, 1
	}
14. B raa 9-13
15. A & B &i 8, 14

""""
"
A|B |- ~(~A&~B),"
Prova:""""

1. A | B          pre
2. {    ~A & ~B   hip
3.      ~A        &e 2
4.      ~B        &e 2
5.      {   A     hip
6.          @     ~e 5,3
		}
7.      {   B     hip
8.          @     ~e 7,4
		}
9.      @         |e 1, 5-6, 7-8
	}
10. ~(~A & ~B)    ~i 2-9

""""
"
~(~A&~B) |- A|B,"
Prova:""""

1. ~ (~ A & ~ B) pre
2. {    ~(A|B)    hip
3.    { A         hip
4.      A|B       |i 3
5.      @         ~e 4,2
	  }        
6.    ~A          ~i 3-5
7.    { B         hip
8.      A|B       |i 7
9.      @         ~e 8,2
	  }
10.   ~B          ~i 7-9
11.   ~A & ~B     &i 6,10
12.   @           ~e 11, 1
   }
13. A | B raa 2-12

""""
"
A->B |- ~(A&~B),"
Prova:""""

1. A -> B pre
2. {    (A & ~ B) hip
3.      A -> B copie 1
4.      A &e 2
5.      B ->e 3, 4
6.      ~ B &e 2
7.      @ ~e 5, 6
   }
8. ~ (A & ~ B) ~i 2-7

""""
"
~(A&~B) |- A->B,"
Prova:""""

1. ~ (A & ~ B) pre
2. {    A hip
3.      {    ~ B hip
4.           A copie 2
5.           (A & ~ B) &i 4, 3
6.           ~ (A & ~ B) copie 1
7.           @ ~e 5, 6
		}
8.      B raa 3-7
   }
9. A -> B ->i 2-8

""""
"
A&B |- ~(~A|~B),"
Prova:""""

1. A & B 		pre
2. {    (~ A | ~ B) 	hip
3.	{	~A	hip
4.		A	&e 1
5.		@	~e 3,4
	}
6.     	{	~B	hip
7.		B	&e 1
8.		@	~e 6,7
	}
9.	@ 		|e 2, 3-5, 6-8
   } 
10. ~ (~ A | ~ B) ~i 2-9

""""
"
~(~A|~B) |- A&B,"
Prova:""""

1. ~ (~ A | ~ B) pre
2. {    ~ A hip
3.      (~ A | ~ B) |i 2
4.      ~ (~ A | ~ B) copie 1
5.      @ ~e 3, 4
   }
6. A raa 2-5
7. {    ~ B hip
8.      (~ A | ~ B) |i 7
9.      ~ (~ A | ~ B) copie 1
10.     @ ~e 8, 9
   }
11. B raa 7-10
12. A & B &i 6, 11

""""
"
A->B |- ~A|B,"
Prova:""""

1. A -> B pre
2. {    ~ (~ A | B) hip
3.      {    A hip
4.           A -> B copie 1
5.           B ->e 3, 4
6.           ~ A | B |i 5
7.           ~ (~ A | B) copie 2
8.           @ ~e 6, 7
		}
9.      ~ A ~i 3-8
10.     ~ A | B |i 9
11.     @ ~e 2, 10
   }
12. ~ A | B raa 2-11

""""
"
~A|B |- A->B,"
Prova:""""

1. ~ A | B pre
2. {    A hip
3.      {    ~ B hip
4.           ~ A | B copie 1
5.           {    ~ A hip
6.                A copie 2
7.                @ ~e 5, 6
			 }
8.           {    B hip
9.                ~ B copie 3
10.               @ ~e 8, 9
			 }
11.          @ |e 4, 5-7, 8-10
		}
12.     B raa 3-11
   }
13. A -> B ->i 2-12

""""
"
