Teorema,Prova
|- Ex (P(x)&Q)->(Ex P(x)&Q),"
Prova:""""

	1.  {	Ex(P(x) & Q)					hip
	2.		{ a 	P(a) & Q				hip
	3.			P(a)						&e 2	 			
	4.			Ex P(x)					Ei 3
			}
	5.		Ex P(x)						Ee 1, 2-4
	6.		{ a 	P(a) & Q				hip
	7.			Q							&e 6
			}
	8.		Q								Ee 1, 6-7
	9.		Ex P(x) & Q					&i 5,8
		}
	10. Ex (P(x) & Q) -> (Ex P(x) & Q)		->i 1-9

""""
"
|- Ax (P(x)|Q)->(Ax P(x)|Q),"
Prova:""""

        1.  {        Ax(P(x) | Q)                                        hip
        2.        {        ~(Ax P(x) | Q)                                hip
        3.                {         a                                                
        4.                        P(a) | Q                                        Ae 1
        5.                        {        P(a)                                        hip
                                  }
        6.                        {        Q                                                hip        
        7.                                Ax P(x) | Q                        |i 6
        8.                                @                                                ~e 7,2
        9.                                P(a)                                        @e 8
                                 }
        10.                 P(a)                                                |e 4, 5-5, 6-9
                        }
        11.                Ax P(x)                                                Ai 3-10
        12.                Ax P(x) | Q                                         |i 11
        13.                @                                                                ~e 2,12
                }        
        14.        Ax P(x) | Q                                                raa 2-13
                }
        15. Ax(P(x) | Q) -> (Ax P(x) | Q)        ->i 1-14

""""
"
|- (Ax P(x)->Q)->Ex (P(x)->Q),"
Prova:""""

        1.  {        Ax P(x) -> Q                                                  hip
        2.    {   ~Ex(P(x) -> Q)              hip
        3.        { a
        4.              {   ~P(a)               hip
        5.                  {   P(a)            hip
        6.                      @               ~e 4,5
        7.                      Q               @e 6
                                                }
        8.                  P(a)->Q             ->i 5-7
        9.                  Ex(P(x) -> Q)       Ei 8
        10.                 @                   ~e 2,9
                                        }
        11.             P(a)                    raa 4-10
                          }
        12.       Ax P(x)                       Ai 3-11
        13.       Q                             ->e 1,12
        14.       {   P(a)                      hip
        15.           Q                         copie 13
                          }
        16.       P(a)->Q                       ->i 14-15
        17.              Ex(P(x) -> Q)                                                      Ei 16
        18.       @                             ~e  2,17                      
                  }
        19.          Ex(P(x) -> Q)                                                          raa 2-18
                }
        20. (Ax P(x)->Q) -> Ex(P(x) -> Q)              ->i 1-19

""""
"
|- Ex (P->Q(x))->(P->Ex Q(x)),"
Prova:""""

        1. {         Ex (P -> Q(x))                                hip
        2.        {        P                                                                hip
        3.                { a                P -> Q(a)                                hip
        4.                        Q(a)                                                ->e 2,3
        5.                        Ex Q(x)                                        Ei 4
                        }                                
        6.                Ex Q(x)                                                Ee 1, 3-5
                }        
        7.        P -> Ex Q(x)                                                ->i 2-6
           }
        8. Ex (P -> Q(x)) -> (P -> Ex Q(x))        ->i 1-7

""""
"
|- (P->Ex Q(x))->Ex (P->Q(x)),"
Prova:""""

	1. { 	(P -> Ex Q(x))					hip
	2.	{	~(~P | Ex Q(x))					hip
	3.		{	P								      hip
	4.      Ex Q(x)               ->e 3, 1
	5.			~P | Ex Q(x)					|i 4
	6.			@								~e 5,2
			   }		
	7.		~P									~i 3-6
	8.		~P | Ex Q(x)						|i 7
	9.		@									~e 8,2
		  }
	10.	~P | Ex Q(x)        raa 2-9
	11.	{	~P									hip
	12.		{	P								hip
	13.			@								~e 11,12
	14.     Q(a)            @e 13
			  }
	15.		P -> Q(a)							->i 12-14
	16.		Ex  (P -> Q(x))					Ei 15
		  }
	17.	{	Ex Q(x)							hip
	18.		{ a		Q(a)						hip
	19.			{	P							hip
	20.				Q(a)						copie 18
				  }
	21.			P -> Q(a)						->i 19-20
	22.			Ex (P -> Q(x))				Ei 21
			  }
	23.		Ex (P -> Q(x))					Ee 17, 18-22
		  }
	24.	Ex (P -> Q(x))						|e 10, 11-16, 17-23
		}
	25. (P -> Ex Q(x)) -> Ex (P -> Q(x))	->i 1-24

""""
"
|- Ex (P(x)->Ax P(x)),"
Prova:""""

	1. { 	~(Ex (P(x) -> Ax P(x)))		hip
	2.	{ 	a			
	3.		{	~P(a)						hip
	4.			{	P(a)					hip
	5.				@						~e 3,4
	6.				Ax P(x)				@e 5
				}
	7.			P(a) -> Ax P(x)			->i  4-6
	8.			Ex (P(x) -> Ax P(x))	Ei 7
	9.			@							~e 8,1
			}
	10.		P(a)							raa 3-9
		}
	11.	Ax P(x)							Ai 2-10
	12.	{	Ax P(x)						hip
	13.		{	P(a)						hip
	14.			Ax P(x)					copie 12		
			}
	15.		P(a) -> Ax P(x)				->i 13-14
	16.		Ex (P(x) -> Ax P(x))		Ei 15
	17.		@								~e 1, 16
		}
	18.	~Ax P(x)							~i 12-17
	19.	@									~e 11,18
		}
	20. Ex (P(x) -> Ax P(x))			raa 1-19

""""
"
|- Ex Ay (P(x)->P(y)),"
Prova:""""

        1. { ~(Ex Ay (P(x)->P(y)))        hip
        2.    {        b
        3.        {        P(a)                  hip
        4.          { ~P(b)               hip        
        5.            { c
        6.              {        P(b)            hip
        7.                @                      ~e 4,6
        8.                P(c)            @e 7
                                        }
        9.              P(b)->P(c)        ->i 6-8
                                  }       
        10.           Ay (P(b)->P(y))            Ai 5-9
        11.           Ex Ay (P(x)->P(y))  Ei 10
        12.           @                   ~e1,11
                                }
        13.         P(b)                  raa 4-12
                          }        
        14.       P(a)->P(b)              ->i 3-13
                  }
        15.   Ay (P(a)->P(y))             Ai 2-14
        16.   Ex Ay (P(x)->P(y))          Ei 15
        17.   @                           ~e 1,16 
           }
        18.Ex Ay (P(x)->P(y))             raa 1-17

""""
"
Ex (P(x)->Q(x)) |- Ax P(x)->Ex Q(x),"
Prova:""""

1. Ex (P(x) -> Q(x)) pre
2. { Ax P(x) hip
3. { a P(a) -> Q(a) hip
4.   P(a) Ae 2
5.   Q(a) ->e 4,3
6.   Ex Q(x) Ei 5
}
7. Ex Q(x) Ee 1,3-6
}
8. Ax P(x) -> Ex Q(x) ->i 2-7

""""
"
"Ax (Q(x)->R(x)), Ex (P(x)&Q(x)) |- Ex (P(x)&R(x))","
Prova:""""

	1. Ax(Q(x) -> R(x))             pre
	2. Ex(P(x) & Q(x))              pre
	3. { a P(a) & Q(a)              hip
	4.     P(a)                     &e 3
	5.     Q(a)                     &e 3
	6.     Q(a) -> R(a)             Ae 1
	7.     R(a)                     ->e 5,6
	8.     P(a) & R(a)              &i 4,7
	9.     Ex (P(x) & R(x))         Ei 8
	   }
	10.Ex (P(x) & R(x))             Ee 2,3-9

""""
"
Ax Ey (P(x)|Q(y)) |- Ey Ax (P(x)|Q(y)),"
Prova:""""

	1. AxEy(P(x)|Q(y))					pre
	2. { 	~EyAx(P(x)|Q(y))				hip
	3.	{ a
	4.		{	Ax(P(x)|Q(a))			hip
	5.			EyAx(P(x)|Q(y))			Ei 4
	6.			@				~e 2,5
			}
	7.		~Ax(P(x)|Q(a))				~i 4-6
		}
	8.	Ay~Ax(P(x)|Q(y))				Ai 3-7
	9.	{ a
	10.		~Ax(P(x)|Q(a))				Ae 8
	11.		{	~Ex~(P(x)|Q(a))			hip
	12.			{ b
	13.				{ 	~(P(b)|Q(a))	hip
	14.					Ex~(P(x)|Q(a))	Ei 13
	15.					@		~e 11,14
					}
	16.				P(b)|Q(a)		raa 13-15
				}
	17.			Ax(P(x)|Q(a))			Ai 12-16
	18.			@				~e 10,17
			}
	19.		Ex~(P(x)|Q(a))				raa 11-18
		}	
	20.	AyEx~(P(x)|Q(y))				Ai 9-19
	21.    	Ex ~(P(x)|Q(b))					Ae 20
	22.	{ a	~(P(a)|Q(b))				hip
	23.		Ey(P(a)|Q(y))				Ae 1		
	24.		{ c	P(a)|Q(c)			hip
	25.			{	P(a)			hip
	26.				P(a)|Q(b)		|i 25
	27.				@			~e 22,26
				}
	28.			{	Q(c)			hip
	29.				Ex ~(P(x)|Q(c))		Ae 20
	30.				{ d	~(P(d)|Q(c))	hip
	31.					P(d)|Q(c)	|i 28
	32.					@		~e 30,31
					}
	33.				@			Ee 29, 30-32
				}
	34.			@				|e 24, 25-27, 28-33
			}
	35.		@					Ee 23, 24-34 
		}	
	36.	@						Ee 21, 22-35
	   }
	37. EyAx(P(x)|Q(y))					raa 2-36

""""
"
"Ax (H(x)|M(x)), ~Ex H(x) |- Ax M(x)","
Prova:""""

	1. Ax (H(x)|M(x))          pre
	2. ~Ex H(x)                pre
	3. { a
	4.       H(a)|M(a)         Ae 1
	5.       {  H(a)           hip
	6.          Ex H(x)        Ei 5
	7.          @              ~e 2,6
	8.          M(a)           @e 7
			 }
	9.       {  M(a)           hip
			 }
	10.      M(a)              |e 4, 5-8, 9-9
	   }
	11.Ax M(x)                 Ai 3-10

""""
"
"Ax (H(x)|M(x)), Ax ~H(x) |- Ax M(x)","
Prova:""""

	1. Ax (H(x)|M(x))          pre
	2. Ax ~H(x)                pre
	3. { a
	4.       H(a)|M(a)         Ae 1
	5.       {  H(a)           hip
	6.          ~H(a)          Ae 2
	7.          @              ~e 5,6
	8.          M(a)           @e 7
			 }
	9.       {  M(a)           hip
			 }
	10.      M(a)              |e 4, 5-8, 9-9
	   }
	11.Ax M(x)                 Ai 3-10

""""
"
"Ax ~(H(x)&~M(x)), Ax H(x) |- Ax M(x)","
Prova:""""

	1. Ax ~(H(x)&~M(x))            pre
	2. Ax H(x)                     pre
	3. { a
	4.       ~(H(a)&~M(a))         Ae 1
	5.       {  ~M(a)              hip
	6.          H(a)               Ae 2
	7.          H(a)&~M(a)         &i 6,5
	8.          @                  ~e 7,4
			 }
	9.       M(a)                  raa 5-8
	   }
	10.Ax M(x)                     Ai 3-9

""""
"
"Ax ~(H(x)&~M(x)), ~Ax M(x) |- ~Ax H(x)","
Prova:""""

	1. Ax ~(H(x)&~M(x))            pre
	2. ~Ax M(x)                    pre
	3. {     Ax H(x)               hip
	4.       { a
	5.            {  ~M(a)         hip
	6.               H(a)          Ae 3
	7.               H(a)&~M(a)    &i 6,5
	8.               ~(H(a)&~M(a)) Ae 1
	9.               @             ~e 7,8
				  }
	10.           M(a)             raa 5-9
			 }
	11.      Ax M(x)               Ai 4-10 
	12.      @                     ~e 2,11
	   }
	13.~Ax H(x)                    ~i 3-12

""""
"
"Ax ~(H(x)&~M(x)), Ex ~M(x) |- ~Ax H(x)","
Prova:""""

	1. Ax ~(H(x)&~M(x))            pre
	2. Ex ~M(x)                    pre
	3. {     Ax H(x)               hip
	4.       { a  ~M(a)            hip
	5.            H(a)             Ae 3
	6.            H(a)&~M(a)       &i 5,4
	7.            ~(H(a)&~M(a))    Ae 1
	8.            @                ~e 6,7
			 }
	9.       @                     Ee 2, 4-8
	   }
	10.~Ax H(x)                    ~i 3-9

""""
"
"Ax ~(H(x)&~M(x)), ~Ax M(x) |- Ex ~H(x)","
Prova:""""

	1. Ax ~(H(x)&~M(x))            pre
	2. ~Ax M(x)                    pre
	3. {     ~Ex ~H(x)             hip
	4.       { a
	5.            {  ~M(a)         hip
	6.               {  ~H(a)      hip
	7.                  Ex~H(x)    Ei 6
	8.                  @          ~e 3,7
					 }
	9.               H(a)          raa 6-8
	10.              H(a)&~M(a)    &i 9,5
	11.              ~(H(a)&~M(a)) Ae 1
	12.              @             ~e 10,11
				  }
	13.           M(a)             raa 5-12
			 }
	14.      Ax M(x)               Ai 4-13 
	15.      @                     ~e 2,14
	   }
	16.Ex ~H(x)                    raa 3-15

""""
"
"Ax ~(H(x)&~M(x)), Ex ~M(x) |- Ex ~H(x)","
Prova:""""

	1. Ax ~(H(x)&~M(x))            pre
	2. Ex ~M(x)                    pre
	3. { a   ~M(a)                 hip
	4.       {    H(a)             hip
	5.            H(a)&~M(a)       &i 4,3
	6.            ~(H(a)&~M(a))    Ae 1
	7.            @                ~e 5,6
			 }
	8.       ~H(a)                 ~i 4-7                     
	9.       Ex ~H(x)              Ei 8
	   }
	10.Ex ~H(x)                    Ee 2, 3-9

""""
"
"Ax (~H(x)|M(x)), Ex H(x) |- Ex M(x)","
Prova:""""

	1. Ax (~H(x)|M(x))          pre
	2. Ex H(x)                 pre
	3. { a   H(a)              hip
	4.       ~H(a)|M(a)        Ae 1
	5.       {  ~H(a)          hip
	6.          @              ~e 3,5
	7.          Ex M(x)        @e 6
			 }
	8.       {  M(a)           hip
	9.          Ex M(x)        Ei 8
			 }
	10.      Ex M(x)           |e 4, 5-7, 8-9
	   }
	11.Ex M(x)                 Ee 2, 3-10

""""
"
"Ax (H(x)|M(x)), Ex ~H(x) |- Ex M(x)","
Prova:""""

	1. Ax (H(x)|M(x))          pre
	2. Ex ~H(x)                pre
	3. { a   ~H(a)             hip
	4.       H(a)|M(a)         Ae 1
	5.       {  H(a)           hip
	6.          @              ~e 3,5
	7.          Ex M(x)        @e 6
			 }
	8.       {  M(a)           hip
	9.          Ex M(x)        Ei 8
			 }
	10.      Ex M(x)           |e 4, 5-7, 8-9
	   }
	11.Ex M(x)                 Ee 2, 3-10

""""
"
"Ax (H(x)->M(x)), Ax (M(x)->P(x)) |- Ax (H(x)->P(x))","
Prova:""""

	1. Ax (H(x)->M(x))        pre
	2. Ax (M(x)->P(x))        pre
	3. { a   
	4.       {  H(a)          hip
	5.          H(a)->M(a)    Ae 1
	6.          M(a)          ->e 4,5
	7.          M(a)->P(a)    Ae 2
	8.          P(a)          ->e 6,7
			 }
	9.       H(a)->P(a)       ->i 4-8
	   }
	10.Ax (H(x)->P(x))        Ai  3-9

""""
"
"Ax (H(x)|M(x)), Ax (H(x)->P(x)), Ax (M(x)->P(x)) |- Ax P(x)","
Prova:""""

	1. Ax (H(x)|M(x))         pre
	2. Ax (H(x)->P(x))        pre
	3. Ax (M(x)->P(x))        pre
	4. { a   
	5.       H(a)|M(a)        Ae 1
	6.       {  H(a)          hip
	7.          H(a)->P(a)    Ae 2
	8.          P(a)          ->e 6,7
			 }
	9.       {  M(a)          hip
	10.         M(a)->P(a)    Ae 3
	11.         P(a)          ->e 9,10
			 }
	12.      P(a)             |e 5, 6-8, 9-11
	   }
	13.Ax P(x)                Ai  4-12

""""
"
Ax (H(x)->M(x)) |- Ax (~M(x)->~H(x)),"
Prova:""""

	1. Ax (H(x)->M(x))        pre
	2. { a   
	3.       {  ~M(a)           hip
	4.          {   H(a)        hip
	5.              H(a)->M(a)  Ae 1
	6.              M(a)        ->e 4,5
	7.              @           ~e 3,6
				}
	8.          ~H(a)          ~i 4-7
			 }
	9.       ~M(a)->~H(a)       ->i 3-8
	   }
	10.Ax (~M(x)->~H(x))        Ai  2-9

""""
"
Ax (~M(x)->~H(x)) |- Ax (H(x)->M(x)),"
Prova:""""

	1. Ax (~M(x)->~H(x))        pre
	2. { a   
	3.       {  H(a)              hip
	4.          {   ~M(a)         hip
	5.              ~M(a)->~H(a)  Ae 1
	6.              ~H(a)         ->e 4,5
	7.              @             ~e 3,6
				}
	8.          M(a)              raa 4-7
			 }
	9.       H(a)->M(a)           ->i 3-8
	   }
	10.Ax (H(x)->M(x))            Ai  2-9

""""
"
Ax (H(x)->M(x)) |- Ax (~H(x)|M(x)),"
Prova:""""

	1. Ax (H(x)->M(x))          pre
	2. { a   
	3.       {  ~(~H(a)|M(a))    hip
	4.          {   H(a)         hip
	5.              H(a)->M(a)   Ae 1
	6.              M(a)         ->e 4,5
	7.              ~H(a)|M(a)   |i 6
	8.              @            ~e 3,7
				}
	9.          ~H(a)            ~i 4-8
	10.         ~H(a)|M(a)       |i 9
	11.         @                ~e 3,10
			 }
	12.      ~H(a)|M(a)          raa 3-11
	   }
	13.Ax (~H(x)|M(x))        Ai  2-12

""""
"
Ax (~H(x)|M(x)) |- Ax (H(x)->M(x)),"
Prova:""""

	1. Ax (~H(x)|M(x))        pre
	2. { a   
	3.       ~H(a)|M(a)       Ae 1
	4.       {   H(a)         hip
	5.           {  ~H(a)     hip
	6.              @         ~e 4,5
	7.              M(a)      @e 6
				 }
	8.           { M(a)       hip
				 }
	9.           M(a)         |e 3, 5-7, 8-8
			 }
	10.      H(a)->M(a)       ->i 4-9
	   }
	11.Ax (H(x)->M(x))        Ai  2-10

""""
"
Ax (~H(x)|M(x)) |- Ax (~M(x)->~H(x)),"
Prova:""""

	1. Ax (~H(x)|M(x))         pre
	2. { a   
	3.       ~H(a)|M(a)        Ae 1
	4.       {   ~M(a)         hip
	5.           {  ~H(a)      hip
				 }
	6.           { M(a)        hip
	7.              @          ~e 4,6
	8.              ~H(a)      @e 7
				 }
	9.           ~H(a)         |e 3, 5-5, 6-8
			 }
	10.      ~M(a)->~H(a)      ->i 4-9
	   }
	11.Ax (~M(x)->~H(x))       Ai  2-10

""""
"
Ax (~M(x)->~H(x)) |- Ax (~H(x)|M(x)),"
Prova:""""

	1. Ax (~M(x)->~H(x))          pre
	2. { a   
	3.       {  ~(~H(a)|M(a))      hip
	4.          {   ~M(a)          hip
	5.              ~M(a)->~H(a)   Ae 1
	6.              ~H(a)          ->e 4,5
	7.              ~H(a)|M(a)     |i 6
	8.              @              ~e 3,7
				}
	9.          M(a)             raa 4-8
	10.         ~H(a)|M(a)       |i 9
	11.         @                ~e 3,10
			 }
	12.      ~H(a)|M(a)          raa 3-11
	   }
	13.Ax (~H(x)|M(x))        Ai  2-12

""""
"
"Ax (H(x)&M(x)), ~Ex ~H(x) |- Ax M(x)","
Prova:""""
	1. Ax (H(x)&M(x))          pre
	2. ~Ex ~H(x)               pre
	3. { a
	4.       H(a)&M(a)         Ae 1
	5.       M(a)              &e 4
	   }
	6. Ax M(x)                 Ai 3-5

""""
"
"Ax (H(x)&M(x)), Ax ~H(x) |- Ax M(x)","
Prova:""""

	1. Ax (H(x)&M(x))          pre
	2. Ax ~H(x)                pre
	3. { a
	4.       H(a)&M(a)         Ae 1
	5.       ~H(a)             Ae 2
	6.       M(a)              &e 4
	   }
	7. Ax M(x)                 Ai 3-6

""""
"
|- Ex (P(x)&Q(x))->(Ex P(x)&Ex Q(x)),"
Prova:""""

1.  { Ex(P(x)&Q(x))                               hip
2.     { a  P(a) & Q(a)                           hip
3.        P(a)                                    &e 2
4.        Ex P(x)                                 Ei 3
       }
5.     Ex P(x)                                    Ee 1,2-4
6.     { a  P(a) & Q(a)                           hip
7.        Q(a)                                    &e 6
8.        Ex Q(x)                                 Ei 7
       }
9.     Ex Q(x)                                    Ee 1,6-8
10.    Ex P(x) & Ex Q(x)                          &i 5, 9
    }
11.  Ex(P(x)&Q(x)) -> (Ex P(x) & Ex Q(x))         ->i 1-10

""""
"
